1448
1 2 3
1 3 5
4 1 5
6 5 39
6 4 5
6 7 8
1 9 10
2 1 10
9 4 11
9 1 4
4 6 12
11 4 12
12 8 13
12 6 8
10 9 15
15 9 14
9 11 14
14 11 16
11 12 17
16 11 17
17 13 18
17 12 13
14 19 15
14 16 20
19 14 20
20 16 21
21 16 17
17 18 21
22 23 24
25 24 26
25 22 24
25 26 27
27 26 28
29 28 30
29 27 28
31 30 32
31 29 30
31 32 33
34 35 36
37 36 22
22 36 23
37 34 36
3 25 38
3 22 25
38 27 39
38 25 27
39 29 40
39 27 29
40 31 41
40 29 31
31 33 42
43 41 42
41 31 42
43 42 44
34 45 46
35 34 46
34 37 47
45 34 47
2 47 37
3 2 37
3 37 22
5 38 39
5 3 38
7 39 40
7 6 39
7 40 41
48 7 41
8 7 48
48 43 49
48 41 43
43 44 50
49 43 50
45 51 52
46 45 52
45 47 53
51 45 53
2 10 47
47 10 53
54 8 48
54 13 8
54 49 55
54 48 49
49 50 56
55 49 56
51 57 58
52 51 58
57 51 59
59 51 53
15 59 53
10 15 53
60 13 54
60 18 13
60 55 61
60 54 55
55 56 62
61 55 62
58 57 64
64 57 63
63 57 65
65 57 59
59 19 65
65 19 66
59 15 19
66 20 67
66 19 20
67 21 68
67 20 21
68 18 69
69 18 60
68 21 18
60 61 70
69 60 70
70 61 71
71 61 62
63 72 64
63 65 73
74 63 73
72 63 74
73 66 75
73 65 66
75 66 76
76 66 67
67 68 77
76 67 77
68 69 78
77 68 78
80 70 79
80 78 69
80 69 70
70 71 79
73 81 74
81 75 82
81 73 75
75 76 82
82 76 83
83 77 84
83 76 77
84 78 85
84 77 78
78 80 85
86 87 88
86 88 89
89 88 90
89 90 91
91 90 92
91 92 93
93 92 94
93 94 95
95 94 96
95 96 97
98 99 100
24 23 86
87 86 100
100 23 98
86 23 100
24 86 89
26 24 89
26 89 91
28 26 91
28 91 93
30 28 93
32 30 95
95 30 93
32 95 97
33 32 97
33 97 102
101 33 102
101 102 103
104 105 106
35 104 106
98 35 106
36 35 98
98 106 99
36 98 23
33 101 42
44 42 101
108 101 103
