Generation of multi rbc models.

246 atoms

1 atom types
0.000 1000.000 xlo xhi
0.000 3000.000 ylo yhi
0.000 1000.000 zlo zhi

Atoms

1 1 497.27530101 487.63601149 451.71770544
2 1 488.80117209 479.29197473 455.97243705
3 1 499.15852405 475.99021390 456.23566909
4 1 508.87626604 482.70445666 454.02410637
5 1 487.84458914 498.66340996 451.60636959
6 1 476.02384028 493.29232161 456.72202227
7 1 485.02387891 488.52517606 453.78081452
8 1 499.95434082 498.10241242 450.12679182
9 1 519.39669348 489.70960206 455.17343047
10 1 509.28841455 494.24241838 451.30128880
11 1 517.71505331 501.95649546 453.38047318
12 1 477.99172866 505.11792919 455.48275375
13 1 497.02495689 507.52361799 450.75049082
14 1 487.33205892 511.45382729 453.09695730
15 1 509.20351656 508.12605403 451.62615383
16 1 522.05148430 512.15272950 456.90274237
17 1 499.86523021 517.20093687 453.14639824
18 1 511.44480866 519.23420322 455.38752264
19 1 486.89926365 470.91863094 461.57448129
20 1 476.74227594 469.69253512 467.81556681
21 1 487.20049552 462.68567389 469.35230549
22 1 498.16616891 466.64614822 462.87761703
23 1 498.35733557 459.00204411 471.50210653
24 1 509.64372523 471.70540017 460.00723678
25 1 509.20194530 462.71171883 468.06909699
26 1 519.56814542 468.52128320 466.53052604
27 1 468.25296722 488.02487055 463.35186905
28 1 460.08105827 486.78885957 473.01258146
29 1 467.94548171 477.64884052 468.87907177
30 1 477.17605532 480.12363328 460.27988300
31 1 519.69169371 478.68376415 459.37540889
32 1 528.90124335 476.19923016 466.95508424
33 1 528.99433350 487.55650472 461.30953565
34 1 536.52746304 484.69126812 469.58189227
35 1 468.07666235 501.09678112 461.61382159
36 1 461.38293945 496.69471668 468.48589163
37 1 527.13111879 499.45687610 458.10357793
38 1 542.13977573 493.22269981 474.06324460
39 1 536.11556104 497.22861901 465.63588205
40 1 546.74380818 496.77090977 482.66838138
41 1 469.77626850 511.93838319 462.08369485
42 1 460.28000274 508.13057457 470.81497108
43 1 478.92457405 517.91405698 458.43624989
44 1 532.76850920 508.19462464 463.23853859
45 1 542.18419169 505.41788392 473.82325505
46 1 537.79863817 514.87204402 470.95477077
47 1 464.95034987 518.33961571 469.50043259
48 1 489.52168612 522.52737497 456.70225484
49 1 473.36821852 524.67491471 465.70864421
50 1 501.01736913 526.96641494 458.00454417
51 1 509.68246549 530.75960042 461.89023444
52 1 520.02601764 523.95954566 461.05290428
53 1 529.36891751 519.71190504 464.76640482
54 1 482.52938568 529.88325394 464.01231783
55 1 492.40680811 532.64456220 462.99248859
56 1 488.88644143 539.78795677 471.93124050
57 1 517.87093471 533.76976954 467.85413179
58 1 500.83750718 537.39742866 466.92396275
59 1 526.98090712 530.17565775 470.76069658
60 1 499.87022179 544.27241266 476.87073593
61 1 498.92135933 453.60674084 481.44990970
62 1 488.16273833 456.13198532 479.19444722
63 1 492.92045997 451.43141752 490.49117827
64 1 509.25412058 456.00414905 478.19617141
65 1 468.46172984 468.57852668 477.29929858
66 1 462.30446731 469.40151678 488.07483259
67 1 470.94758300 461.29201442 487.47424409
68 1 477.76671041 461.39766639 477.35618865
69 1 519.19649564 460.57269389 476.06410838
70 1 526.88665749 460.30551158 485.89224990
71 1 528.40318643 467.26537099 475.15784488
72 1 535.33295972 467.88588685 485.25615089
73 1 460.58625374 477.51088815 479.06075491
74 1 543.07909957 483.49398625 480.82875826
75 1 536.96096049 475.36938495 477.13872881
76 1 547.13460244 486.86431512 489.84723595
77 1 455.28508420 498.79474679 477.72282741
78 1 451.25294724 500.98079900 488.95269028
79 1 454.22975551 489.00485539 483.19091016
80 1 549.42686767 500.35478973 492.62585606
81 1 454.34687979 509.86788539 482.21788240
82 1 459.29562749 519.38338903 478.45376680
83 1 542.48620715 517.93163664 480.80249227
84 1 546.80047231 509.09383903 485.06625455
85 1 467.86008417 528.84338991 474.88333212
86 1 462.26352404 529.00928199 484.76363509
87 1 535.25060374 525.52483572 475.50273449
88 1 544.63195346 520.92527976 491.80210177
89 1 471.11096309 537.08137624 483.04622597
90 1 477.72783800 535.49687753 472.81712389
91 1 481.45156432 542.83148528 482.17029801
92 1 509.99559216 540.28363025 472.22738361
93 1 520.37076823 539.82918557 477.78653709
94 1 529.75826523 535.61907374 481.53328661
95 1 538.18285083 529.21077349 486.40230127
96 1 491.05002482 546.09170344 482.91812555
97 1 500.36096464 548.78999335 489.20136900
98 1 510.44831987 545.82945215 483.07761944
99 1 521.09382346 543.82745618 488.56081085
100 1 481.25842763 455.11661621 488.44511387
101 1 475.06931849 456.67245963 498.43687514
102 1 486.75803215 451.77381804 499.61057916
103 1 500.45198078 449.99264734 499.78924616
104 1 506.17542858 451.41452033 489.98315372
105 1 517.17634512 454.75596697 487.50328803
106 1 513.83111971 451.95414552 499.11182009
107 1 458.25735172 472.45715552 499.29470600
108 1 465.61153992 463.71031514 498.62461131
109 1 524.80182673 456.65240133 497.61204349
110 1 534.35561601 463.92665404 495.81206273
111 1 542.06957144 474.75546941 490.48194181
112 1 545.80204574 479.96456865 500.41594324
113 1 455.60529181 479.64656610 489.30016455
114 1 451.02278024 491.57370805 494.45842484
115 1 453.16028991 482.45947609 499.93653302
116 1 549.21559319 491.26176226 499.35382137
117 1 450.05014062 501.86198361 501.79082266
118 1 549.76752040 501.61901562 504.50067199
119 1 455.19186971 519.60732491 489.66736228
120 1 451.47578874 511.21467979 495.53652645
121 1 548.53638659 511.62792163 497.31827150
122 1 454.76666725 521.15262489 502.80874407
123 1 459.18822911 528.54138220 495.57211017
124 1 544.66245786 522.16735589 503.62228784
125 1 476.45932659 543.41622994 492.29647928
126 1 466.67109874 536.78718881 494.07829448
127 1 530.79465490 538.65663887 492.61087479
128 1 538.91805334 531.28265204 497.78208150
129 1 479.99550644 545.77391467 502.18136971
